"code_centre_interet","libelle_centre_interet","code_ogr_rome","code_rome","libelle_rome","principal"
"1","J'ai envie de créer, construire, rénover","265","H2504","Chef / Cheffe d'équipe en industrie","non"
"1","J'ai envie de créer, construire, rénover","266","H2505","Chef / Cheffe d'équipe et d'atelier textile","non"
"1","J'ai envie de créer, construire, rénover","488315","H2507","Responsable de ligne de production industrielle","non"
"1","J'ai envie de créer, construire, rénover","488862","H2508","Ingénieur / Ingénieure exploitation nucléaire","oui"
"1","J'ai envie de créer, construire, rénover","267","H2601","Bobinier / Bobinière en électricité","non"
"1","J'ai envie de créer, construire, rénover","268","H2602","Câbleur / Câbleuse d'armoires","non"
"1","J'ai envie de créer, construire, rénover","270","H2604","Assembleur / Assembleuse en produits électriques et électroniques","non"
"1","J'ai envie de créer, construire, rénover","271","H2605","Monteur-câbleur / Monteuse-câbleuse en électronique","non"
"1","J'ai envie de créer, construire, rénover","488763","H2606","Monteur-bobinier / Monteuse-bobinière en électricité","non"
"1","J'ai envie de créer, construire, rénover","488920","H2607","Chef / Cheffe d'atelier de bobinage électrique","non"
"1","J'ai envie de créer, construire, rénover","489222","H2608","Bobinier / Bobinière en matériels électroniques","non"
"1","J'ai envie de créer, construire, rénover","274","H2802","Opérateur / Opératrice de fabrication en matériaux de construction","non"
"1","J'ai envie de créer, construire, rénover","488902","I1104","Ingénieur / Ingénieure infrastructures télécoms réseaux mobiles","non"
"1","J'ai envie de créer, construire, rénover","307","I1201","Agent / Agente technique d'affichage","non"
"1","J'ai envie de créer, construire, rénover","308","I1202","Agent / Agente d'exploitation de la voirie","oui"
"1","J'ai envie de créer, construire, rénover","311","I1302","Technicien / Technicienne de maintenance d'installations automatisées","non"
"1","J'ai envie de créer, construire, rénover","312","I1303","Technicien / Technicienne de maintenance de distributeurs automatiques","non"
"1","J'ai envie de créer, construire, rénover","315","I1306","Frigoriste","oui"
"1","J'ai envie de créer, construire, rénover","317","I1308","Chauffagiste","non"
"1","J'ai envie de créer, construire, rénover","488883","I1316","Technicien / Technicienne de maintenance Chauffage, Ventilation et Climatisation - CVC","non"
"1","J'ai envie de créer, construire, rénover","509403","I1323","Technicien / Technicienne de maintenance ferroviaire","non"
"1","J'ai envie de créer, construire, rénover","509409","I1324","Technicien / Technicienne d'installation d'équipements industriels","non"
"1","J'ai envie de créer, construire, rénover","509537","I1325","Technicien-cuisiniste / Technicienne-cuisiniste en cuisines professionnelles","non"
"1","J'ai envie de créer, construire, rénover","509916","I1332","Chef / Cheffe d'atelier de maintenance industrielle","non"
"1","J'ai envie de créer, construire, rénover","510212","I1335","Electromécanicien / Electromécanicienne d'équipements industriels","non"
"1","J'ai envie de créer, construire, rénover","322","I1501","Cordiste","non"
"1","J'ai envie de créer, construire, rénover","509651","I1508","Désamianteur / Désamianteuse","oui"
"1","J'ai envie de créer, construire, rénover","325","I1601","Préparateur / Préparatrice de bateau","non"
"1","J'ai envie de créer, construire, rénover","327","I1603","Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles","non"
"1","J'ai envie de créer, construire, rénover","489208","I1609","Peintre automobile","non"
"1","J'ai envie de créer, construire, rénover","488736","I1614","Préparateur / Préparatrice en peinture automobile","non"
"1","J'ai envie de créer, construire, rénover","510422","I1626","Préparateur / Préparatrice en tôlerie automobile","non"
"1","J'ai envie de créer, construire, rénover","382","K1404","Chargé / Chargée de mission développement territorial","non"
"1","J'ai envie de créer, construire, rénover","489080","K1607","Conservateur / Conservatrice des antiquités et objets d'art","oui"
"1","J'ai envie de créer, construire, rénover","489034","K1717","Technicien électronicien / Technicienne électronicienne des armées","non"
"1","J'ai envie de créer, construire, rénover","489053","K1718","Mécanicien / Mécanicienne de systèmes d'armes","non"
"1","J'ai envie de créer, construire, rénover","488725","K1724","Mécanicien / Mécanicienne d'engins blindés","non"
"1","J'ai envie de créer, construire, rénover","509794","K1807","Urbaniste","non"
"1","J'ai envie de créer, construire, rénover","510200","K2314","Technicien / Technicienne de maintenance de systèmes d'irrigation","non"
"1","J'ai envie de créer, construire, rénover","439","L1202","Musicien / Musicienne","non"
"1","J'ai envie de créer, construire, rénover","451","L1505","Opérateur / Opératrice de prise de vues","non"
"1","J'ai envie de créer, construire, rénover","39022","L1510","Animateur / Animatrice 3D - films d'animation","non"
"1","J'ai envie de créer, construire, rénover","510594","M1305","Fablab Manager","non"
"1","J'ai envie de créer, construire, rénover","488603","M1816","Technicien / Technicienne réseaux informatiques et télécoms","oui"
"1","J'ai envie de créer, construire, rénover","488772","M1829","Ingénieur / Ingénieure systèmes et réseaux des territoires connectés","non"
"1","J'ai envie de créer, construire, rénover","488890","M1835","Architecte systèmes et réseaux des territoires connectés","non"
"1","J'ai envie de créer, construire, rénover","488917","M1840","Directeur / Directrice de projets des territoires connectés","non"
"1","J'ai envie de créer, construire, rénover","512366","N1208","Opérateur / Opératrice de traitement de valeurs","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","11","A1205","Sylviculteur / Sylvicultrice","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488640","A1207","Chef / Cheffe d'équipe d'entretien d'espaces naturels","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489042","A1211","Chef / Cheffe d'équipe paysagiste","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489058","A1212","Chef / Cheffe d'équipe de travaux forestiers","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489160","A1213","Conducteur / Conductrice de travaux forestiers","non"
"2","J'ai l'âme d'un chef / d'une cheffe","20","A1406","Capitaine de pêche","non"
"2","J'ai l'âme d'un chef / d'une cheffe","403956","A1420","Chef / Cheffe de culture responsable d'unité de production agricole","non"
"2","J'ai l'âme d'un chef / d'une cheffe","509679","A1439","Eleveur / Eleveuse d'équidés","non"
"2","J'ai l'âme d'un chef / d'une cheffe","509644","B1808","Premier / Première d'atelier","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","510168","B1814","Directeur / Directrice de collection","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","57","C1103","Courtier / Courtière en assurance","non"
"2","J'ai l'âme d'un chef / d'une cheffe","58","C1104","Responsable d'agence en assurances","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","62","C1108","Responsable de département en assurances","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","71","C1207","Directeur / Directrice d'agence bancaire","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","403085","C1505","Responsable d'agence immobilière","non"
"2","J'ai l'âme d'un chef / d'une cheffe","509393","D1111","Chef / Cheffe de laboratoire en charcuterie","non"
"2","J'ai l'âme d'un chef / d'une cheffe","509520","D1112","Chef charcutier-traiteur / Cheffe charcutière-traiteuse","non"
"2","J'ai l'âme d'un chef / d'une cheffe","510011","D1117","Chef pâtissier / Cheffe pâtissière","non"
"2","J'ai l'âme d'un chef / d'une cheffe","509368","D1225","Responsable d'institut de beauté","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","509642","D1230","Responsable d'agence de location de matériel de transport","non"
"2","J'ai l'âme d'un chef / d'une cheffe","101","D1301","Gérant / Gérante de magasin d'alimentation générale","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488618","D1302","Responsable de boutique","non"
"2","J'ai l'âme d'un chef / d'une cheffe","509647","D1303","Responsable de station-service","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","510477","D1305","Responsable de magasin cycles","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","107","D1406","Directeur / Directrice des ventes","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488282","D1411","Responsable Efficacité Commerciale (SFE) en industrie pharmaceutique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488326","D1414","Responsable de zone internationale","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488908","D1417","Chef / Cheffe des ventes","non"
"2","J'ai l'âme d'un chef / d'une cheffe","510137","D1435","Responsable de plateau de centre d'appels","non"
"2","J'ai l'âme d'un chef / d'une cheffe","510272","D1437","Gérant / Gérante de négoce automobile","non"
"2","J'ai l'âme d'un chef / d'une cheffe","111","D1502","Chef / Cheffe de rayon produits alimentaires","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","112","D1503","Chef / Cheffe de rayon de produits non alimentaires","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","113","D1504","Directeur / Directrice de magasin de grande distribution","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","117","D1508","Responsable de caisses","non"
"2","J'ai l'âme d'un chef / d'une cheffe","118","D1509","Responsable de département en grande distribution","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","403087","D1510","Chef / Cheffe de secteur magasin","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488749","E1110","Directeur / Directrice de la rédaction","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","509668","E1116","Responsable d'édition en presse","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","510443","E1128","Directeur / Directrice de création","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","134","E1303","Chef / Cheffe de fabrication en industrie graphique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","509508","E1309","Responsable d'atelier de façonnage routage","non"
"2","J'ai l'âme d'un chef / d'une cheffe","510254","E1313","Agent / Agente d'encadrement en industrie graphique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","140","E1401","Chef / Cheffe de publicité","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","512359","E1415","Directeur / Directrice de la production publicitaire","non"
"2","J'ai l'âme d'un chef / d'une cheffe","509938","F1136","Chef / Cheffe de projet éolien","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","150","F1201","Conducteur / Conductrice de travaux du bâtiment","non"
"2","J'ai l'âme d'un chef / d'une cheffe","151","F1202","Chef / Cheffe de chantier bâtiment","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","403076","F1205","Directeur / Directrice de travaux du bâtiment","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489220","F1206","Chef / Cheffe d'équipe bâtiment","non"
"2","J'ai l'âme d'un chef / d'une cheffe","490402","F1207","Chef / Cheffe d'équipe travaux publics","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","509797","F1208","Conducteur / Conductrice de travaux publics","non"
"2","J'ai l'âme d'un chef / d'une cheffe","510010","F1209","Chef / Cheffe de chantier travaux publics","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","510445","F1210","Directeur / Directrice de travaux TP - Travaux Publics","non"
"2","J'ai l'âme d'un chef / d'une cheffe","404966","G1214","Directeur sportif / Directrice sportive","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","509666","G1237","Directeur / Directrice d'accueil de loisirs sans hébergement","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","509362","G1304","Responsable d'agence de voyages","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","192","G1402","Directeur / Directrice d'établissement en hôtellerie-restauration","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","193","G1403","Directeur / Directrice de structure touristique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","194","G1404","Responsable d'établissement de restauration collective","non"
"2","J'ai l'âme d'un chef / d'une cheffe","404965","G1405","Directeur / Directrice de structure sportive","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488348","G1406","Directeur / Directrice d'équipement sportif","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488762","G1408","Directeur / Directrice de structure d'hébergement touristique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","489049","G1410","Directeur / Directrice de la restauration","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489171","G1411","Directeur / Directrice d'hôtel","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","489204","G1412","Directeur / Directrice de parc à thème","non"
"2","J'ai l'âme d'un chef / d'une cheffe","489205","G1413","Directeur / Directrice de restaurant","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","489568","G1414","Directeur / Directrice d'exploitation de site de divertissement","non"
"2","J'ai l'âme d'un chef / d'une cheffe","509639","G1415","Gérant / Gérante de gîte et chambres d'hôtes","non"
"2","J'ai l'âme d'un chef / d'une cheffe","509931","G1416","Directeur / Directrice d'hôtellerie de plein air","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","197","G1503","Gouvernant / Gouvernante d'hôtel","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","198","G1601","Chef / Cheffe de cuisine","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488585","G1705","Chef / Cheffe concierge d'hôtel","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488620","G1706","Chef / Cheffe de réception en hôtellerie","non"
"2","J'ai l'âme d'un chef / d'une cheffe","207","G1802","Maître / Maîtresse d'hôtel","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488898","G1806","Chef sommelier / Cheffe sommelière","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488635","G1808","Chef barman / Cheffe barmaid","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488861","G1810","Chef / Cheffe de rang","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488302","H1103","Responsable d'affaires en industrie pharmaceutique","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488321","H1104","Directeur / Directrice des affaires médicales pharmaceutiques","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","489015","H1107","Directeur / Directrice assistance technique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","404541","H1211","Attaché / Attachée de recherche clinique (ARC)","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","509699","H1234","Responsable de service de rédaction technique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","509906","H1238","Chef / Cheffe de projet conception industrielle en mécanique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488297","H1405","Responsable supply chain en industrie","non"
"2","J'ai l'âme d'un chef / d'une cheffe","229","H1501","Responsable de laboratoire d'analyse industrielle","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","230","H1502","Responsable qualité en industrie","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","404542","H1507","Chargé / Chargée des affaires réglementaires","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488284","H1509","Responsable des affaires règlementaires en industrie pharmaceutique","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488312","H1512","Directeur / Directrice de zone en industrie pharmaceutique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488343","H1517","Responsable de laboratoire de contrôle en industrie pharmaceutique","oui"
"2","J'ai l'âme d'un chef / d'une cheffe","488344","H1518","Responsable assurance qualité en industrie","non"
"2","J'ai l'âme d'un chef / d'une cheffe","488352","H1519","Responsable éthique-déontologie-conformité en industrie pharmaceutique","non"
"2","J'ai l'âme d'un chef / d'une cheffe","509345","H1523","Responsable Qualité Sécurité Environnement -QSE- en industrie","oui"
