"code_rome","code_compo_bloc","libelle_type_texte","position_phrase","libelle_texte"
"A1203","4","acces_metier","3","Le permis de conduire peut également être nécessaire."
"A1204","3","definition","1","Effectue la surveillance de site (espaces naturels, protégés, ...) et veille à la sauvegarde du patrimoine naturel (réserve naturelle, forêts, littoral, ...) selon les directives institutionnelles, la réglementation environnementale (loi de protection du littoral, ...) et les règles de sécurité."
"A1204","3","definition","2","Peut sensibiliser différents publics à la protection de l''environnement, ou mettre en place la sécurisation du public."
"A1204","3","definition","3","Peut coordonner une équipe."
"A1204","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP agricole en aménagement des espaces naturels."
"A1204","4","acces_metier","2","Un Brevet de Technicien Agricole en aménagement de l''espace, gestion de la faune sauvage ou un BTS Agricole en gestion et protection de la nature peut être demandé pour les postes de technicien cynégétique."
"A1204","4","acces_metier","3","Un diplôme de niveau Bac à Bac + 2 (BTS, DUT) dans les domaines de l''eau et de la protection de l''environnement peut être demandé pour les postes de technicien de rivière."
"A1204","4","acces_metier","4","Une bonne condition physique (acuité visuelle, ...) est requise."
"A1205","3","definition","1","Le sylviculteur supervise l''ensemble des travaux d''entretien et de reconstitution des forêts, assurant ainsi la gestion durable des forêts."
"A1205","3","definition","2","Gère et surveille la croissance et la santé des arbres"
"A1205","3","definition","3","Contrôle les opérations de coupe et assure la régénération des espaces forestiers"
"A1205","3","definition","4","Supervise les travaux forestiers et coordonne les équipes sur le terrain"
"A1205","3","definition","5","Planifie et met en œuvre des projets de reforestation et de conservation"
"A1205","3","definition","6","Réalise des études d''impact environnemental pour préserver la biodiversité"
"A1205","3","definition","7","Peut informer et sensibiliser un public aux pratiques forestières et aux techniques de sylviculture durable"
"A1205","4","acces_metier","1","Cet emploi est accessible avec une formation de niveau Bac à Bac +3 dans le domaine de la gestion et conduite de travaux forestiers."
"A1206","3","definition","1","Le Concepteur paysagiste conçoit des projets d''aménagements ou de réaménagement d''espaces extérieurs ruraux ou urbains en prenant compte des considérations esthétiques, environnementales et fonctionnelles."
"A1206","3","definition","2","Réalise des plans et des maquettes en 3D pour visualiser les projets avant leur exécution"
"A1206","3","definition","3","Choisit les plantes et matériaux adaptés à chaque projet en fonction du climat et du sol"
"A1206","3","definition","4","Supervise les travaux d''aménagement et coordonne les équipes sur le terrain"
"A1206","3","definition","5","Conseille les clients sur l''entretien des espaces verts et propose des solutions durables"
"A1206","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac+3 à Bac+5 en aménagement ou architecture du paysage."
"A1207","3","definition","1","Le Chef d''équipe d''entretien d''espaces naturels orchestre la préservation et la valorisation de nos espaces naturels."
"A1207","3","definition","2","Supervise et coordonne les activités d''entretien des espaces naturels"
"A1207","3","definition","3","Planifie les activités et gère les ressources matérielles et humaines nécessaires"
"A1207","3","definition","4","Veille à l''application des règles de sécurité, des normes environnementales et du règlement du territoire applicable"
"A1207","3","definition","5","Forme les membres de l''équipe aux techniques d''entretien écologique"
"A1207","3","definition","6","Réalise des rapports sur l''état des sites et propose des améliorations"
"A1207","3","definition","7","Veille au respect du fonctionnement des écosystèmes selon les préconisations (Ecologue, autorités locales)"
"A1207","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac à Bac+2 dans le domaine de l''entretien d''espaces naturels ou de gestion des milieux naturels. Il est également accessible avec un niveau CAP et une expérience significative."
"A1207","4","acces_metier","2","Des Certificats d''Aptitude à la Conduite En Sécurité (CACES) peuvent être nécessaires pour la conduite de certains engins."
"A1208","3","definition","1","Le Jardinier paysagiste, entretient des jardins ou espaces verts, pour embellir l''environnement et créer une atmosphère fonctionnelle et accueillante."
"A1208","3","definition","2","Conçoit et aménage des jardins et des espaces verts selon les besoins du client et les contraintes du site"
"A1208","3","definition","3","Entretient les plantations, les pelouses et les équipements extérieurs"
"A1208","3","definition","4","Réalise des opérations de taille, de tonte, de désherbage et de traitement des plantes"
"A1208","3","definition","5","Installe les systèmes d''irrigation et veille à leur fonctionnement pour optimiser la consommation d''eau"
"A1208","3","definition","6","Peut participer à la création de décors pour des événements spéciaux"
"A1208","4","acces_metier","1","Cet emploi est accessible avec diplôme de niveau CAP à Bac agricole en aménagement paysager et généralement une expérience dans l''entretien des espaces verts."
"A1208","4","acces_metier","2","Des Certificats d''aptitude à la conduite en sécurité (CACES) peuvent être demandés pour la conduite d''engins."
"A1209","3","definition","1","L''Élagueur, spécialiste de la taille et de l''entretien des arbres, prend soin de l''environnement et de la sécurité du public."
"A1209","3","definition","2","Taille les arbres et arbustes selon les besoins esthétiques ou sécuritaires"
"A1209","3","definition","3","Assure l''entretien et le soin des arbres pour préserver leur santé et leur croissance"
"A1209","3","definition","4","Utilise des techniques de grimpe pour accéder aux branches"
"A1209","3","definition","5","Gère les déchets végétaux issus de la taille et de l''élagage"
"A1209","3","definition","6","Il travaille obligatoirement en équipe avec un collègue resté au sol pour surveiller le périmètre de sécurité et réceptionner les branches coupées."
"A1209","4","acces_metier","1","Cet emploi est généralement accessible avec un diplôme de niveau CAP à Bac dans le secteur du paysage, de l''agriculture ou de l''aménagement paysager."
"A1209","4","acces_metier","2","Le certificat de spécialisation d''arboriste élagueur peut être requis."
"A1209","4","acces_metier","3","Des certificats d''aptitude à la conduite en sécurité (CACES) peuvent être demandés pour la conduite d''engins ou l''utilisation de nacelles élévatrices."
"A1209","4","acces_metier","4","Ne pas avoir le vertige est indispensable pour le travail en grande hauteur."
"A1210","3","definition","1","L''ouvrier forestier, entretient la forêt et participe ainsi à la préservation de notre environnement."
"A1210","3","definition","2","Participe à la plantation, à l''entretien et à la coupe des arbres et d''autres végétaux dans le respect des normes de qualité et des pratiques de reboisement durable"
"A1210","3","definition","3","Effectue des travaux de débroussaillage pour prévenir les risques d''incendies"
"A1210","3","definition","4","Entretient et effectue les réparations courantes sur les matériels, engins et / ou locaux"
"A1210","3","definition","5","Entretient les infrastructures et équipements en milieux naturels"
"A1210","3","definition","6","Peut être impliqué dans des activités de sensibilisation et d''éducation à l''environnement"
"A1210","4","acces_metier","1","Cet emploi est accessible sans qualification. Un diplôme de niveau CAP ou BEP à Bac pro agricole dans le domaine des travaux forestiers peut cependant en faciliter l''accès."
"A1211","3","definition","1","Le chef d''équipe paysagiste coordonne les équipes sur les chantiers d''entretien et d''aménagement d''espaces verts afin d''assurer la réussite des projets paysagers."
"A1211","3","definition","2","Organise les postes de travail et répartit les activités sur les chantiers d''aménagement ou d''entretien"
"A1211","3","definition","3","Sélectionne les plantes et les matériaux adaptés à chaque projet"
"A1211","3","definition","4","S''assure de la disponibilité du matériel et de l''approvisionnement des chantiers"
"A1211","3","definition","5","Sensibilise les clients ou les équipes sur la mise en place de solutions écologiques pour entretenir jardins et espaces verts"
"A1211","3","definition","6","Peut concevoir des aménagements paysagers selon les besoins des clients et les caractéristiques des sites"
"A1211","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau CAP à Bac+2 dans le domaine de l''aménagement paysager et une expérience professionnelle dans le secteur."
"A1212","3","definition","1","Le Chef d''équipe de travaux forestiers, un rôle clé pour la qualité de la gestion des travaux forestiers et la préservation des espaces forestiers."
"A1212","3","definition","2","Supervise et coordonne les activités de l''équipe sur le terrain"
"A1212","3","definition","3","Contrôle la qualité des travaux réalisés et veille au respect du cahier des charges des chantiers  et des normes de sécurité"
"A1212","3","definition","4","Forme les membres de l''équipe aux techniques forestières et à l''utilisation du matériel"
"A1212","3","definition","5","Gère et entretient les ressources matérielles nécessaires aux travaux forestiers"
"A1212","3","definition","6","Peut participer à des projets de reforestation et de conservation"
"A1212","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Brevet Professionnel (BP) ou Bac dans le domaine des travaux forestiers ou d''un BTSA en gestion forestière."
"A1213","3","definition","1","Le conducteur de travaux forestiers orchestre la gestion des travaux forestiers, en alliant expertise technique et respect de l''environnement pour préserver et valoriser le patrimoine naturel."
"A1213","3","definition","2","Manage une équipe opérationnelle et met en œuvre des objectifs opérationnels"
"A1213","3","definition","3","Ouvre, suit et réceptionne un chantier"
"A1213","3","definition","4","Veille au respect des normes environnementales et de sécurité lors des interventions forestières"
"A1213","3","definition","5","Gère le budget et les ressources matérielles nécessaires aux projets (matériels, véhicules, locaux)"
"A1213","3","definition","6","Peut participer à des projets de recherche et de développement sur la gestion durable des forêts"
"A1213","4","acces_metier","1","Cet emploi est accessible avec des formations de niveau Bac+2 à Bac+5 en gestion forestière. Il est également accessible avec une expérience significative de chef d''équipe de travaux forestiers."
"A1214","3","definition","1","Le Patrouilleur modeleur VTT, un acteur clé pour l''aménagement, la sécurité et l''entretien des pistes de VTT en montagne."
"A1214","3","definition","2","Participe à la conception et à la mise en place de nouveaux parcours ou améliorations de pistes existantes"
"A1214","3","definition","3","Inspecte et entretient les pistes de VTT pour garantir la sécurité des utilisateurs"
"A1214","3","definition","4","Modèle et adapte le terrain pour améliorer l''expérience de conduite sur les pistes"
"A1214","3","definition","5","Collabore avec les équipes de secours pour assurer une intervention rapide en cas d''accident"
"A1214","3","definition","6","Informe les utilisateurs sur les règles de sécurité et les nouvelles configurations de pistes, signale les obstacles et dangers potentiels"
"A1214","4","acces_metier","1","Cet emploi est accessible sans qualification particulière obligatoire. Des certifications telles que le CQP Patrouilleur modeleur VTT,  secourisme, moniteur ou accompagnateur VTT ou gestion de parcours en montagne peuvent être des atouts."
"A1301","3","definition","1","Conseille et assiste techniquement les professionnels de l''agriculture, de l''aquaculture, de la sylviculture ou de l''élevage selon les orientations institutionnelles (préservation du patrimoine naturel, ...), les projets d''aménagement du territoire (dispositif de gestion de l''eau,...) ou d''implantation d''exploitation agricole et d''élevage, et la réglementation environnementale."
"A1301","3","definition","2","Peut former et sensibiliser différents publics. Peut réaliser des prélèvements d''échantillons."
"A1301","3","definition","3","Peut coordonner une équipe."
"A1301","4","acces_metier","1","Ce métier est accessible à partir d''un BTS Agricole en agriculture, génie rural, environnement, ..."
"A1301","4","acces_metier","2","Un Master (diplôme d''ingénieur, Master recherche en droit rural, école de commerce, ...) est requis pour les postes de conseillers."
"A1301","4","acces_metier","3","Son accès dans les collectivités territoriales et organismes publics s''effectue sur concours."
"A1302","3","definition","1","Réalise les opérations de contrôle ou de diagnostic (surveillance, prélèvements, relevés de mesures) sur les lieux de production (élevages, abattoirs, ...) et de stockage (chambre froide, silo, ...) selon les règles d''hygiène, de sécurité et la réglementation sanitaire et environnementale."
"A1302","3","definition","2","Peut procéder à des contrôles de conformité et verbaliser les contrevenants à la réglementation."
"A1302","3","definition","3","Peut coordonner une équipe."
"A1302","4","acces_metier","1","Ce métier est accessible avec un Bac professionnel en Bio-industries de transformation ou avec un BTS Agricole en industrie alimentaire."
"A1302","4","acces_metier","2","Son accès aux Instances Vétérinaires s''effectue sur concours avec un Bac."
"A1303","3","definition","1","L''Ingénieur d''études et de recherche agricoles façonne l''avenir de l''agriculture par des innovations et des recherches avancées."
"A1303","3","definition","2","Conçoit et développe des projets de recherche pour améliorer les pratiques agricoles"
"A1303","3","definition","3","Analyse les données environnementales pour optimiser les rendements et la durabilité des exploitations"
"A1303","3","definition","4","Collabore avec des équipes multidisciplinaires pour intégrer les avancées technologiques dans l''agriculture"
"A1303","3","definition","5","Participe à la rédaction de publications scientifiques et à la communication des résultats de recherche"
"A1303","3","definition","6","Guide les agriculteurs et les entreprises agricoles dans l''adoption de nouvelles technologies et pratiques"
"A1303","3","definition","7","Évalue l''impact environnemental des pratiques agricoles et propose des solutions durables"
"A1303","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac +5 en agronomie, agro sciences ou dans le domaine de l''agriculture, alimentation et environnement."
"A1303","4","acces_metier","2","Les emplois de la fonction publique sont accessibles par voie de concours."
"A1304","3","definition","1","Le Conseiller technique agricole accompagne les agriculteurs dans la gestion de leur activité et l''optimisation de leur production."
"A1304","3","definition","2","Analyse l''activité et les résultats des agriculteurs accompagnés"
"A1304","3","definition","3","Propose des solutions techniques, économiques ou organisationnelles"
"A1304","3","definition","4","Conseille des produits, des outils ou des services adaptés"
"A1304","4","acces_metier","1","Cet emploi est accessible avec un BTS Agricole, un BUT ou une licence pro en agronomie, en droit et économie agricole ou en gestion des organisations agricoles et agroalimentaires."
"A1305","3","definition","1","Le technicien des services vétérinaires, spécialisé dans le contrôle sanitaire et la protection des animaux, contribue à garantir la santé publique tout au long de la chaîne alimentaire."
"A1305","3","definition","2","Effectue des missions d''inspection pour contrôler les conditions de vie et de bien-être des animaux dans les élevages, refuges, abattoirs, ..."
"A1305","3","definition","3","Vérifie le respect des normes d''hygiène et de sécurité des produits d''origine animale destinés à la consommation dans les abattoirs et les industries agroalimentaires"
"A1305","3","definition","4","S''assure du respect des normes et de la règlementation"
"A1305","3","definition","5","Prélève des échantillons pour analyses"
"A1305","3","definition","6","Rédige des rapports d''inspection"
"A1305","3","definition","7","Peut ouvrir une enquête sanitaire en cas de risques sanitaires ou de maladies contagieuses"
"A1305","4","acces_metier","1","Cet emploi de la fonction publique est accessible sur concours ouvert aux candidats titulaires d''un diplôme de niveau Bac à Bac +2/3 de préférence en biologie ou en sciences. Une formation de niveau Bac +2 dispensée par l’Institut de formation du ministère de l’Agriculture (INFOMA),  permettra l''obtention du diplôme obligatoire pour exercer cet emploi en France."
"A1306","3","definition","1","Le chargé de mission biodiversité étudie et protège les écosystèmes afin de préserver et valoriser la biodiversité."
"A1306","3","definition","2","Évalue et surveille l''état des habitats naturels de la faune et la flore associée"
"A1306","3","definition","3","Propose et met en œuvre des plans de gestion pour la conservation des espaces naturels"
"A1306","3","definition","4","Réalise des études d''impact environnemental pour des projets de développement"
"A1306","3","definition","5","Collabore avec des partenaires ou organismes locaux, régionaux et nationaux pour promouvoir les initiatives de biodiversité"
"A1306","3","definition","6","Participe à la rédaction de rapports scientifiques et techniques sur la biodiversité"
"A1306","3","definition","7","Organise et anime des actions de sensibilisation et d''éducation à l''environnement"
"A1306","4","acces_metier","1","Cet emploi est accessible avec une formation de niveau Bac + 5 Master Biodiversité Ecologie Evolution"
"A1307","3","definition","1","L''Ingénieur forestier gère les projets d''aménagement et d''exploitation durables de la forêt."
"A1307","3","definition","2","Élabore et met en œuvre des plans de coupe et de reboisement"
"A1307","3","definition","3","Supervise les opérations de reforestation, d''aménagement et d''entretien des espaces"
"A1307","3","definition","4","Réalise des études d''impact environnemental pour protéger les écosystèmes"
"A1307","3","definition","5","Conseille sur les meilleures pratiques de gestion forestière et de conservation de la biodiversité"
"A1307","3","definition","6","Collabore avec des organismes gouvernementaux et non gouvernementaux pour la mise en place de politiques environnementales"
"A1307","3","definition","7","Dirige les équipes sur le terrain lors des travaux d''entretien des zones forestières"
"A1307","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac+5 en ingénierie forestière, sciences agronomiques ou gestion de l''environnement."
"A1307","4","acces_metier","2","Les postes spécifiques liés à la fonction publique sont accessibles par voie de concours."
"A1308","3","definition","1","Le Technicien de l''insémination animale réalise l''insémination artificielle sur différents animaux pour améliorer les performances génétiques des élevages."
"A1308","3","definition","2","Conseille les éleveurs sur les meilleures pratiques de reproduction et les stratégies d''amélioration et la conduite génétique des élevages"
"A1308","3","definition","3","Suit les protocoles de sécurité et d''hygiène lors des inséminations pour garantir la santé animale et la qualité des interventions"
"A1308","3","definition","4","Gère la traçabilité des interventions et des données génétiques pour assurer la conformité réglementaire"
"A1308","3","definition","5","Conseille les éleveurs sur les meilleures pratiques de reproduction et les génotypages"
"A1308","3","definition","6","Participe à la gestion des stocks de semences et à la planification des sessions d''insémination"
"A1308","3","definition","7","Peut être impliqué dans la recherche et le développement de nouvelles techniques d''insémination"
"A1308","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac à Bac +3 dans le domaine de l''élevage ou de la gestion d''entreprise agricole, complété d''une certification."
"A1308","4","acces_metier","2","La pratique de l''insémination en monte publique est réglementée par le Code rural en France et requiert l''obtention préalable d''un Certificat d''aptitude aux fonctions de technicien d''insémination (CAFTI)."
"A1309","3","definition","1","Le Technicien d''élevage équin, professionnel passionné par le monde équestre, supervise et coordonne toutes les activités d''un élevage de chevaux."
"A1309","3","definition","2","Assure le suivi sanitaire et alimentaire des équidés"
"A1309","3","definition","3","Gère la reproduction et le bien-être des chevaux"
"A1309","3","definition","4","Organise et participe aux entraînements des chevaux"
"A1309","3","definition","5","Contribue à la préparation des chevaux pour les compétitions ou la vente"
"A1309","3","definition","6","Peut participer à la gestion administrative et financière de l''élevage"
"A1309","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau BP à Bac +3 dans le domaine de l''élevage ou une formation spécifique de technicien d''élevage équin. Un certificat de transport d''animaux vivants peut être un atout."
"A1310","3","definition","1","Le Technicien de production animale assiste les éleveurs et maintient et améliore la qualité de la production animale."
"A1310","3","definition","2","Supervise et optimise les processus de production animale pour garantir la qualité et la quantité des produits"
"A1310","3","definition","3","Contrôle la santé et le bien-être des animaux, en veillant à leur alimentation et à leur environnement"
"A1310","3","definition","4","Gère la reproduction des animaux et suit le développement des jeunes"
"A1310","3","definition","5","Maintient à jour les registres de production et de santé animale conformément aux réglementations"
"A1310","3","definition","6","Collabore avec des vétérinaires pour prévenir et traiter les maladies animales"
"A1310","3","definition","7","Participe à la recherche et à l''implémentation de nouvelles techniques pour améliorer l''efficacité de l''élevage"
"A1310","4","acces_metier","1","Cet emploi est accessible avec une formation de niveau Bac à Bac +3 en agriculture, élevage et productions Animales."
"A1311","3","definition","1","Le technicien forestier, spécialisé dans la gestion, l''entretien et la conservation des forêts, met en œuvre des programmes de gestion forestière durable."
"A1311","3","definition","2","Gère et surveille la forêt en lien avec les autres professionnels forestiers"
"A1311","3","definition","3","Planifie et supervise les opérations de reboisement et de coupe"
"A1311","3","definition","4","Renseigne et sensibilise le public à la biodiversité"
"A1311","3","definition","5","Conseille les propriétaires ou les élus sur les meilleures pratiques de gestion durable des forêts"
"A1311","3","definition","6","Participe à la prévention et à la gestion des risques naturels (incendies, maladies)"
"A1311","3","definition","7","Collabore avec des organismes publics et privés pour la mise en œuvre de projets forestiers"
"A1311","4","acces_metier","1","Cet emploi est accessible avec une formation de niveau Bac à bac +3 en gestion des milieux naturels, de l''environnement ou en gestion forestière. Une expérience dans un métier de la sylviculture est un atout complémentaire."
"A1311","4","acces_metier","2","L''Office National des Forêts recrute également par voie de concours."
"A1312","3","definition","1","Le Directeur environnement élabore la stratégie environnementale en conformité avec la règlementation et les objectifs de production et de rentabilité de la structure."
"A1312","3","definition","2","Réalise des études d''impact et des audits environnementaux (pollution, traitement des déchets, consommation d''énergie, …)"
"A1312","3","definition","3","Détermine avec la direction les solutions à mettre en place pour réduire les impacts environnementaux des activités"
"A1312","3","definition","4","Collabore avec des équipes pluridisciplinaires pour intégrer les critères environnementaux dans les projets de développement"
"A1312","3","definition","5","Sensibilise et forme les parties prenantes aux enjeux environnementaux et aux pratiques durables"
"A1312","3","definition","6","Participe à la mise en place de systèmes de management environnemental au sein des organisations"
"A1312","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac +5 en écologie, agronomie ou environnement et une expérience professionnelle dans le domaine."
"A1313","3","definition","1","Le chargé de mission environnement met en œuvre des politiques et des programmes de protection de l''environnement au sein des structures afin d''atténuer les impacts environnementaux des activités."
"A1313","3","definition","2","Évalue et analyse l''impact environnemental des activités (pollution, déchets, consommation d''énergie, …)"
"A1313","3","definition","3","Elabore des préconisations et propose des solutions durables adaptées aux objectifs de production ou de rentabilité de la structure"
"A1313","3","definition","4","Conduit et coordonne les projets"
"A1313","3","definition","5","Surveille l''avancement des projets et assure le reporting pour mesurer les impacts et les résultats obtenus"
"A1313","3","definition","6","Collabore avec diverses parties prenantes pour promouvoir les meilleures pratiques environnementales"
"A1313","3","definition","7","Organise des campagnes de sensibilisation et des formations sur les enjeux environnementaux et écologiques"
"A1313","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac +5 en écologie, agronomie ou environnement."
"A1401","3","definition","1","Le Cueilleur de fruits exerce un métier au cœur de la nature, il est un acteur essentiel des exploitations fruitières."
"A1401","3","definition","2","Récolte différents types de fruits selon la saison"
"A1401","3","definition","3","Assure la sélection des fruits selon leur maturité pour garantir la qualité"
"A1401","3","definition","4","Transporte les fruits récoltés vers les zones de stockage"
"A1401","3","definition","5","Peut participer à l''entretien des arbres fruitiers et des plantations"
"A1401","3","definition","6","Peut effectuer le tri et le conditionnement des fruits"
"A1401","4","acces_metier","1","Cet emploi est accessible sans qualification spécifique. Des formations internes peuvent être proposées pour la manipulation en sécurité des outils de cueillette."
"A1402","3","definition","1","L''Aide agricole en production végétale apporte une aide aux cultivateurs dans la gestion de l''exploitation."
"A1402","3","definition","2","Participe à la préparation des sols et à la plantation de diverses cultures"
"A1402","3","definition","3","Assure l''entretien courant des cultures en contrôlant la croissance et en appliquant les traitements nécessaires"
"A1402","3","definition","4","Effectue la récolte manuelle de céréales, légumes et plantes"
"A1402","3","definition","5","Participe aux opérations de tri et de conditionnement des produits récoltés"
"A1402","3","definition","6","Effectue l''entretien des outils, équipements et installations"
"A1402","4","acces_metier","1","Cet emploi est accessible sans qualification et peut être une première expérience pour des diplômés d''un CAP ou BP métiers de l''agriculture."
"A1402","4","acces_metier","2","Des Certificats d''aptitude à la conduite en sécurité (CACES) pourront être nécessaires pour la conduite d''engins agricoles."
"A1403","3","definition","1","Apporte une aide à l''éleveur dans les activités quotidiennes auprès des animaux (distribution de nourriture, aide à la traite, ramassage des œufs, …)"
"A1403","3","definition","2","Participe aux soins et veille au bien-être des animaux."
"A1403","3","definition","3","Peut conduire un troupeau."
"A1403","3","definition","4","Peut réaliser des opérations de tri et de conditionnement de produits issus de l''élevage."
"A1403","4","acces_metier","1","Cet emploi est accessible sans qualification et peut être une première expérience pour des diplômés  d''un CAP ou BP métiers de l''agriculture."
"A1404","3","definition","1","L''Aquaculteur / Aquacultrice, est un spécialiste de la production animale en milieu aquatique."
"A1404","3","definition","2","Élève et soigne des poissons, crustacés et coquillages selon les normes environnementales et sanitaires"
"A1404","3","definition","3","Surveille l''environnement et la qualité de l''eau pour garantir la santé des espèces et en assurer une gestion durable"
"A1404","3","definition","4","Récolte les produits aquatiques prêts à la consommation ou pour transformation et les commercialise"
"A1404","3","definition","5","Peut encadrer des équipes et gérer une entreprise"
"A1404","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac à Bac + 3 en aquaculture, conchyliculture ou métiers de la mer. Le diplôme n''est obligatoire que pour l''installation. L''accès à l''emploi en tant que salarié est également accessible avec de l''expérience."
"A1404","4","acces_metier","2","Selon l''activité, des certifications complémentaires pour la plongée ou la navigation en mer peuvent être requises."
"A1405","3","definition","1","L''Arboriculteur cultive divers types d''arbres fruitiers et ornementaux selon les saisons et les conditions climatiques."
"A1405","3","definition","2","Effectue la taille, l''élagage et le traitement des arbres pour garantir leur santé et leur productivité"
"A1405","3","definition","3","Surveille et contrôle les attaques de nuisibles et les maladies des plantes"
"A1405","3","definition","4","Récolte les fruits en respectant les périodes optimales"
"A1405","3","definition","5","Commercialise les produits de l''arboriculture sur les marchés locaux, auprès de distributeurs ou d''industriels"
"A1405","3","definition","6","Peut gérer une équipe et coordonner les opérations de culture et de récolte ou de cueillette"
"A1405","4","acces_metier","1","Cet emploi est accessible avec une formation de niveau CAP à Bac +2 dans le domaine agricole, en production végétale, fruitière ou en arboriculture."
"A1405","4","acces_metier","2","Des Certificats d''aptitude à la conduite en sécurité (CACES) pourront être nécessaires pour la conduite d''engins agricoles ou d''engins de"
"A1405","4","acces_metier","3","manutention."
"A1406","3","definition","1","Le Capitaine de pêche dirige et contrôle la navigation en mer et les opérations de pêche selon les objectifs d''exploitation, les règles de sécurité et la règlementation maritime sur l''environnement et la gestion des captures."
"A1406","3","definition","2","Contrôle la manipulation, le traitement et la conservation des produits de la pêche jusqu''à leur commercialisation"
"A1406","3","definition","3","Peut diriger un armement et assurer la gestion d''un équipage."
