"code_ogr","nature","libelle_competence","definition","code_ogr_macro_comp","code_macro_comp","cat_comp","sous_cat_comp","transition_eco","transition_num","libelle_heterogeneite","libelle_origine"
"100475","Compétence","Effectuer des analyses biologiques (parasitologie, bactériologie, virologie, ...)","","300078","","Savoir-faire","Technique","","N","",""
"100486","Compétence","Déterminer les contraintes techniques de l'oeuvre liées aux caractéristiques des matériaux, aux conditions d'exposition, aux normes de sécurité","","300186","","Savoir-faire","Technique","","N","",""
"100493","Compétence","Se représenter un objet dans l'espace","","300069","","Savoir-faire","Technique","","N","",""
"100558","Compétence","Façonner des pièces d'art","","300098","","Savoir-faire","Technique expert","","N","",""
"100601","Compétence","Repérer les tendances et les ambiances de décoration","","300381","","Savoir-faire","Technique","","N","",""
"100615","Compétence","Concevoir l'aménagement de salons et d'expositions commerciales","","300375","","Savoir-faire","Technique","","N","",""
"100616","Compétence","Concevoir l'aménagement de manifestations évènementielles","","300277","","Savoir-faire","Technique","","N","",""
"100617","Compétence","Concevoir l'aménagement de musée et d'expositions culturelles","","300293","","Savoir-faire","Technique","","N","",""
"100658","Compétence","Appliquer une couche de métal par l'argenture","","300214","","Savoir-faire","Technique","","N","",""
"100659","Compétence","Appliquer une couche de métal","","300214","","Savoir-faire","Technique","","N","",""
"100684","Compétence","Reporter ou reproduire un décor en petite série selon des techniques de papier à la cuve","","300234","","Savoir-faire","Technique","","N","",""
"100731","Compétence","Terminer l'ouvrage par rabattage des tiges d'osier, le serrage des lignes torsadées, insérer les éléments de renforts et effectuer les opérations de ponçage, vernis","","300226","","Savoir-faire","Technique","","N","",""
"100749","Compétence","Réaliser des objets de jardins","","300232","","Savoir-faire","Technique","","N","",""
"100760","Compétence","Réaliser des opérations d'architecture végétale décorative ou utilitaire (tressage de l'osier)","","300234","","Savoir-faire","Technique","","N","",""
"100784","Compétence","Réaliser des dorures et des décorations","","300234","","Savoir-faire","Technique","","N","",""
"100809","Compétence","Réparer des instruments","","300182","","Savoir-faire","Technique","","N","",""
"100835","Compétence","Vernisser au tampon","","300214","","Savoir-faire","Technique","","N","",""
"100839","Compétence","Réaliser des décors de peinture","","300099","","Savoir-faire","Technique","","N","",""
"100857","Compétence","Réaliser des éléments de serrurerie, quincaillerie d'art","","300098","","Savoir-faire","Technique expert","","N","",""
"100858","Compétence","Réaliser des escaliers, rambardes, mezzanines, pergola, vitrines","","300223","","Savoir-faire","Technique","","N","",""
"100859","Compétence","Réaliser des grilles ornementales","","300232","","Savoir-faire","Technique","","N","",""
"100861","Compétence","Réaliser des luminaires","","300098","","Savoir-faire","Technique expert","","N","",""
"100862","Compétence","Réaliser des objets décoratifs","","300098","","Savoir-faire","Technique expert","","N","",""
"100864","Compétence","Réaliser des statuaires monumentales","","300098","","Savoir-faire","Technique expert","","N","",""
"100888","Compétence","Réaliser des cliquetages","","404525","","Savoir-faire","Technique","","N","",""
"100898","Compétence","Vérifier la faisabilité de la commande, définir et arrêter avec le client les conditions de réalisation","","300367","","Savoir-faire","Technique","","N","",""
"100901","Compétence","Souffler le verre pour le mettre en forme (soufflage, étirement, torsion, ...) et veiller au maintien de sa température (arche de recuisson, fours de réchauffe, ...)","","404525","","Savoir-faire","Technique","","N","",""
"100924","Compétence","Usiner ou assembler le verre","","300232","","Savoir-faire","Technique","","N","",""
"100955","Compétence","Découper du verre","","300231","","Savoir-faire","Technique","","N","",""
"100957","Compétence","Assembler des plaques et panneaux de verre","","300233","","Savoir-faire","Technique","","N","",""
"100964","Compétence","Détecter les défauts, nuances, alliage des matériaux et déterminer les contraintes de la pièce","","300256","","Savoir-faire","Technique expert","","N","",""
"101017","Compétence","Tailler des diamants","","300230","","Savoir-faire","Technique","","N","",""
"101018","Compétence","Tailler des pierres fines et ornementales","","300230","","Savoir-faire","Technique","","N","",""
"101019","Compétence","Tailler des rubis, saphirs, émeraudes","","300230","","Savoir-faire","Technique","","N","",""
"101024","Compétence","Remplacer les pièces défectueuses par échange standard (mouvement quartz, aiguilles, cadrans, ...) et assembler les éléments","","300179","","Savoir-faire","Technique","","N","",""
"101045","Compétence","Réaliser des opérations de micromécanique sur des pièces d'horlogerie","","404525","","Savoir-faire","Technique","","N","",""
"101061","Compétence","Habiller le mannequin (positionnement et tension de la peau, couture, ...)","","300226","","Savoir-faire","Technique","","N","",""
"101090","Compétence","Définir avec le client les caractéristiques de l'article à réaliser selon ses souhaits, ses besoins et l'informer sur les conditions de réalisation","","300366","","Savoir-faire","Technique","","N","",""
"101102","Compétence","Concevoir des modèles pour une cérémonie","","402005","","Savoir-faire","Technique","","N","",""
"101107","Compétence","Réaliser un patron","","300073","","Savoir-faire","Technique","","N","",""
"101114","Compétence","Réaliser des chapeaux","","300098","","Savoir-faire","Technique expert","","N","",""
"101126","Compétence","Réaliser les opérations de coupe de matériaux (positionnement de gabarit, ...) manuellement ou à l'aide d'une machine","","300231","","Savoir-faire","Technique","","N","",""
"101127","Compétence","Assembler (collage, couture) les pièces de l'article (tige, soufflet) manuellement ou à l'aide d'une machine","","300233","","Savoir-faire","Technique","","N","",""
"101129","Compétence","Vérifier la conformité des pièces et articles façonnés (aspect de teinte, régularité des coutures, etc.) et procéder aux actions correctives","","300255","","Savoir-faire","Technique expert","","N","",""
"101152","Compétence","Réaliser des opérations de parage","","300226","","Savoir-faire","Technique","","N","",""
"101163","Compétence","Prendre les mensurations d'un client","","300130","","Savoir-faire","Technique","","N","",""
"101166","Compétence","Ajuster les pièces du vêtement (manches, col) par essayage","","300140","","Savoir-faire","Technique","","N","",""
"101178","Compétence","Réaliser des vêtements","","300232","","Savoir-faire","Technique","","N","",""
"101181","Compétence","Réaliser des articles de lingerie, lingerie balnéaire ou corseterie à l'unité ou en petites séries","","300098","","Savoir-faire","Technique expert","","N","",""
"101199","Compétence","Sélectionner les matériaux (tissus, fils, ornements, ...), coloris et outils appropriés à l'ouvrage","","300206","","Savoir-faire","Technique","","N","",""
"101202","Compétence","Terminer l'ouvrage du métier, réaliser les opérations de finition (tonte, apprêt, repassage) et d'emballage","","300226","","Savoir-faire","Technique","","N","",""
"101227","Compétence","Sélectionner les matières et fournitures (fil, tissu, fermoirs, ...) de la gamme de produits","","300205","","Savoir-faire","Technique","","N","",""
"101256","Compétence","Concevoir une gamme, une collection de matières premières","","300071","","Savoir-faire","Technique","","N","",""
"101273","Compétence","Déterminer les conditions de réfection ou de réalisation de l'article (siège, tenture, ...) ou d'un ensemble d'ameublement selon l'état, le style de mobilier, le délai, le coût des matériaux","","300178","","Savoir-faire","Technique","","N","",""
"101275","Compétence","Mesurer les murs, fenêtres, carcasses et déterminer les quantités de matériaux et accessoires nécessaires","","300130","","Savoir-faire","Technique","","N","",""
"101286","Compétence","Réaliser des décors","","300234","","Savoir-faire","Technique","","N","",""
"101287","Compétence","Réaliser des garnitures de siège","","300232","","Savoir-faire","Technique","","N","",""
"101288","Compétence","Réaliser des matelas","","300232","","Savoir-faire","Technique","","N","",""
"101299","Compétence","Poser des stores","","300228","","Savoir-faire","Technique","","N","",""
"101311","Compétence","Assister les collaborateurs au niveau commercial et technique","","300184","","Savoir-faire","Technique","","N","",""
"101430","Compétence","Constater les dommages, dégâts, pertes sur les lieux du sinistre et auprès des assurés","","300331","","Savoir-faire","Technique","","N","",""
"101431","Compétence","Recueillir les preuves, témoignages et rapports de police auprès des parties impliquées dans le sinistre (victimes, témoins, services de secours, ...)","","300354","","Savoir-faire","Technique expert","","N","",""
"101563","Compétence","Arrêter les termes d'un contrat","","300350","","Savoir-faire","Technique expert","","N","",""
"101596","Compétence","Gérer des portefeuilles d'actifs financiers","","300328","","Savoir-faire","Technique","","N","",""
"101615","Compétence","Réguler la vente d'actifs financiers sur le marché boursier","","300335","","Savoir-faire","Technique","","N","",""
"101622","Compétence","Procéder à l'enregistrement, au tri, à l'affranchissement du courrier","","300129","","Savoir-faire","Technique","","N","",""
"101750","Compétence","Confectionner des confiseries","","300089","","Savoir-faire","Technique","","N","",""
"101901","Compétence","Accueillir le client et l'installer","","300361","","Savoir-faire","Technique","","N","",""
"101902","Compétence","Identifier la coiffure attendue et conseiller le client","","300367","","Savoir-faire","Technique","","N","",""
"101903","Compétence","Réaliser le diagnostic capillaire, les préparations du lavage et le shampoing","","300043","","Savoir-faire","Technique","","N","",""
"101905","Compétence","Procéder à la mise en forme, au coiffage, à la fixation des cheveux (bouclage, brushing, ...)","","300043","","Savoir-faire","Technique","","N","",""
"101906","Compétence","Présenter au client sa coiffure sous différents angles pour recueillir son avis","","300364","","Savoir-faire","Technique","","N","",""
"101916","Compétence","Réaliser des prestations de coiffure","","300043","","Savoir-faire","Technique","","N","",""
"101917","Compétence","Réaliser des soins de manucure, pédicure","","300043","","Savoir-faire","Technique","","N","",""
"101918","Compétence","Réaliser une coupe ou une coiffure","","300043","","Savoir-faire","Technique","","N","",""
"101924","Compétence","Accueillir la personne, identifier les soins appropriés et lui en présenter les modalités (résultats attendus, durée de traitement)","","300363","","Savoir-faire","Technique","","N","",""
"101925","Compétence","Installer une personne, un client","","300361","","Savoir-faire","Technique","","N","",""
"101926","Compétence","Pratiquer des soins d'hydrothérapie","","300043","","Savoir-faire","Technique","","N","",""
"101927","Compétence","Apporter une assistance médicale","","300045","","Savoir-faire","Technique expert","","N","",""
"101928","Compétence","Informer les personnels de santé des réactions de la personne (rougeur, essoufflement, ...)","","300056","","Savoir-faire","Technique expert","","N","",""
"101934","Compétence","Pratiquer des soins d'hydrothérapie par techniques d'aspersion ou de baignade","","300043","","Savoir-faire","Technique","","N","",""
"101936","Compétence","Pratiquer des soins d'hydrothérapie par gargarisme, inhalation, irrigation, pulvérisation, nébulisation","","300043","","Savoir-faire","Technique","","N","",""
"101937","Compétence","Pratiquer des soins d'hydrothérapie par techniques manuelles drainantes, relaxantes, raffermissantes, stimulantes","","300043","","Savoir-faire","Technique","","N","",""
"101946","Compétence","Effectuer l'entretien de premier niveau","","300182","","Savoir-faire","Technique","","N","",""
"101952","Compétence","Réaliser la location de matériel de plage","","300368","","Savoir-faire","Technique","","N","",""
"101962","Compétence","Déterminer les modes de nettoyage en fonction des types de tissus (lavage à sec, blanchisserie, repassage, etc)","","300177","","Savoir-faire","Technique","","N","",""
"101967","Compétence","Restituer les articles au client après contrôle du nettoyage, repassage","","300364","","Savoir-faire","Technique","","N","",""
"101974","Compétence","Repasser du textile (vêtements, linge)","","300177","","Savoir-faire","Technique","","N","",""
"101979","Compétence","Réaliser des montages délicats","","300138","","Savoir-faire","Technique","","N","",""
"101980","Compétence","Réaliser la pose de fermeture à glissière","","300228","","Savoir-faire","Technique","","N","",""
"101981","Compétence","Réaliser des opérations de rempliage (ourlet, couture surpiquée...) sur des articles textiles","","300226","","Savoir-faire","Technique","","N","",""
"101988","Compétence","Déterminer les réparations ou modifications de l'article","","300178","","Savoir-faire","Technique","","N","",""
"101992","Compétence","Vérifier la stabilité, l'aplomb, ... et procéder aux ajustements nécessaires","","300257","","Savoir-faire","Technique expert","","N","",""
"102006","Compétence","Réaliser des faire-part et cartes de visite","","300157","","Savoir-faire","Technique","","N","",""
"102016","Compétence","Identifier les retouches, réparations à réaliser sur le vêtement et renseigner le client sur les conditions","","300185","","Savoir-faire","Technique","","N","",""
"102019","Compétence","Insérer les éléments de serrage (élastique, ...), renfort et protection (coudière, ...) sur l'article","","300226","","Savoir-faire","Technique","","N","",""
"102020","Compétence","Assembler et fixer les différents éléments (doublure, col, manche, ...) par couture","","300233","","Savoir-faire","Technique","","N","",""
"102021","Compétence","Vérifier la symétrie et le bien-aller du vêtement sur mannequin ou lors de l'essayage","","300256","","Savoir-faire","Technique expert","","N","",""
"102026","Compétence","Retoucher ou faire des modifications","","300178","","Savoir-faire","Technique","","N","",""
"102030","Compétence","Retoucher ou faire des modifications sur tissu","","300178","","Savoir-faire","Technique","","N","",""
"102039","Compétence","Retoucher ou faire des modifications sur un vêtement","","300178","","Savoir-faire","Technique","","N","",""
"102043","Compétence","Réaliser des accessoires (sacs, chapeaux, ...) à partir d'un patron, d'un modèle","","300098","","Savoir-faire","Technique expert","","N","",""
"102044","Compétence","Réaliser des costumes à thème à partir d'un patron, d'un modèle","","300098","","Savoir-faire","Technique expert","","N","",""
"102046","Compétence","Confectionner un article textile","","300232","","Savoir-faire","Technique","","N","",""
"102047","Compétence","Réaliser des vêtements de cérémonie à partir d'un patron, d'un modèle","","300098","","Savoir-faire","Technique expert","","N","",""
"102048","Compétence","Concevoir des protocoles de soins esthétiques","","300058","","Savoir-faire","Technique expert","","N","",""
"102049","Compétence","Réaliser des soins mortuaires","","300043","","Savoir-faire","Technique","","N","",""
"102050","Compétence","Réaliser des soins du visage et du corps","","300043","","Savoir-faire","Technique","","N","",""
"102054","Compétence","Réaliser des soins d'épilation","","300043","","Savoir-faire","Technique","","N","",""
"102056","Compétence","Réaliser des soins de perçage corporel, piercing","","300043","","Savoir-faire","Technique","","N","",""
"102057","Compétence","Réaliser des soins de pose de faux-cils, bijoux de peau, tatouages temporaires","","300043","","Savoir-faire","Technique","","N","",""
"102061","Compétence","Réaliser des tatouages permanents","","300043","","Savoir-faire","Technique","","N","",""
"102062","Compétence","Pratiquer des techniques manuelles drainantes, relaxantes, raffermissantes et stimulantes","","300043","","Savoir-faire","Technique","","N","",""
"102084","Compétence","Réaliser une composition florale","","300234","","Savoir-faire","Technique","","N","",""
"102142","Compétence","Réaliser les réglages ou la maintenance de premier niveau d'instruments de musique","","300183","","Savoir-faire","Technique","","N","",""
"102143","Compétence","Réaliser les réglages ou la maintenance de premier niveau d'équipements de sport","","300183","","Savoir-faire","Technique","","N","",""
"102175","Compétence","Réaliser la maintenance de premier niveau","","300183","","Savoir-faire","Technique","","N","",""
"102318","Compétence","Etablir un plan de tournée de prospection (ciblage, interlocuteurs, préparation de dossiers techniques)","","300371","","Savoir-faire","Technique","","N","",""
"102357","Compétence","Adapter le plan d'implantation des articles","","300375","","Savoir-faire","Technique","","N","",""
"102445","Compétence","Analyser des dysfonctionnements et des difficultés techniques de connexion au site ou d'utilisation des services par les internautes","","300185","","Savoir-faire","Technique","","N","",""
"102454","Compétence","Recueillir des informations préalables à l'écriture lors d'enquête, de recherche documentaire, d'interview, ...","","300452","","Savoir-faire","Transverse","","N","",""
"102463","Compétence","Créer des illustrations visuelles ou sonores en utilisant l'animation d'images, de textes, de dessins ou de photos","","300113","","Savoir-faire","Technique expert","","N","",""
"102471","Compétence","Rédiger des correspondances pour le compte de particuliers ou d'entreprises","","300115","","Savoir-faire","Technique expert","","N","",""
"102472","Compétence","Rédiger des documents administratifs pour le compte de particuliers ou d'entreprises","","300307","","Savoir-faire","Technique expert","","N","",""
"102476","Compétence","Adapter et préparer un écrit","","300405","","Savoir-faire","Transverse","","N","",""
"102486","Compétence","Ecrire des chansons, livrets d'opéra, comédies musicales","","300093","","Savoir-faire","Technique expert","","N","",""
"102489","Compétence","Ecrire des légendes d'iconographies, livrets d'exposition (peintures, photographies, ...)","","300115","","Savoir-faire","Technique expert","","N","",""
"102518","Compétence","Réaliser une revue de presse","","300119","","Savoir-faire","Transverse","","N","",""
"102536","Compétence","Concevoir un projet de communication multicanal","","300488","","Savoir-faire","Technique expert","","O","",""
"102539","Compétence","Concevoir des jeux vidéo innovants et attractifs","","300117","","Savoir-faire","Technique expert","","O","",""
"102556","Compétence","Collecter et préparer les textes, illustrations","","300115","","Savoir-faire","Technique expert","","N","",""
"102557","Compétence","Concevoir la maquette, la mise en page, l'intégration des textes et le traitement des images","","300113","","Savoir-faire","Technique expert","","O","",""
"102558","Compétence","Contrôler les textes, les épreuves et la structure des livres, des ouvrages, de revues","","300407","","Savoir-faire","Transverse","","N","",""
"102559","Compétence","Valider les textes, le Bon à Tirer","","300256","","Savoir-faire","Technique expert","","N","",""
"102560","Compétence","Suivre des projets d'édition avec les intervenants, auteurs, illustrateurs, imprimeurs, correcteurs","","300487","","Savoir-faire","Technique expert","","N","",""
"102562","Compétence","Rédiger une note de lecture","","300115","","Savoir-faire","Technique expert","","N","",""
"102612","Compétence","Actualiser des bases de données","","300203","","Savoir-faire","Technique","","O","",""
"102638","Compétence","Développer des films et des photographies","","300171","","Savoir-faire","Technique","","N","",""
"102639","Compétence","Réaliser un album photos","","300113","","Savoir-faire","Technique expert","","N","",""
"102643","Compétence","Réaliser un montage photo","","300113","","Savoir-faire","Technique expert","","N","",""
"102672","Compétence","Réaliser les contrôles chimiques des bains de développement des négatifs et les contrôles sensitométriques de l'émulsion","","300255","","Savoir-faire","Technique expert","","N","",""
"102675","Compétence","Transférer le film cinématographique sur vidéo à partir du télécinéma","","300171","","Savoir-faire","Technique","","N","",""
"102679","Compétence","Contrôler les rushes, les synchroniser avec la bande son et surveiller leur projection","","300252","","Savoir-faire","Technique expert","","N","",""
"102694","Compétence","Renseigner les supports de suivi d'intervention","","300462","","Savoir-faire","Transverse","","N","",""
"102704","Compétence","Réceptionner et contrôler les colis de films (état général des copies, quantités, format son, ...)","","300263","","Savoir-faire","Technique","","N","",""
"102707","Compétence","Vérifier le fonctionnement des appareils de projection, la qualité du son et de l'image et effectuer les réglages des projecteurs et des chaînes sonores","","300172","","Savoir-faire","Technique expert","","N","",""
"102719","Compétence","Installer des bobines sur un dispositif de déroulement à plateaux sans fin","","300171","","Savoir-faire","Technique","","N","",""
"102720","Compétence","Installer des bobines sur un dispositif de déroulement horizontal","","300171","","Savoir-faire","Technique","","N","",""
"102721","Compétence","Installer des bobines sur un dispositif de déroulement vertical","","300171","","Savoir-faire","Technique","","N","",""
"102727","Compétence","Animer les éléments d'une image (restitution des mouvements image par image, définition des trajectoires)","","300116","","Savoir-faire","Technique expert","","N","",""
"102748","Compétence","Réaliser un panneau d'exposition, présentoir, stand","","300113","","Savoir-faire","Technique expert","","N","",""
"102794","Compétence","Sélectionner, doser et mélanger les encres selon la teinte attendue et les supports à imprimer","","300211","","Savoir-faire","Technique","","N","",""
"102795","Compétence","Monter la forme imprimante sur la machine, régler les paramètres d'impression (calage, encrage, pression des cylindres, ...) et charger les supports d'impression et les consommables","","300135","","Savoir-faire","Technique","","N","",""
"102796","Compétence","Réaliser une première impression avant roulage et procéder aux ajustements (densité, calage des couleurs, contours, ...)","","300157","","Savoir-faire","Technique","","N","",""
"102797","Compétence","Présenter une épreuve pour obtention du bon à rouler, lancer et surveiller l'impression","","300157","","Savoir-faire","Technique","","N","",""
"102826","Compétence","Identifier les différentes opérations de façonnage ou de routage selon les critères de fabrication (type de papier, format, ...) ou les instructions","","300135","","Savoir-faire","Technique","","N","",""
"102828","Compétence","Régler les paramètres des machines et équipements","","300139","","Savoir-faire","Technique","","N","",""
"102856","Compétence","Couper des produits imprimés","","300231","","Savoir-faire","Technique","","N","",""
"102860","Compétence","Réaliser une technique de découpe (presse à platine) sur un produit imprimé","","300231","","Savoir-faire","Technique","","N","",""
"102861","Compétence","Réaliser une technique sur un produit imprimé","","300214","","Savoir-faire","Technique","","N","",""
"102866","Compétence","Réaliser une technique de vernissage sur un produit imprimé","","300214","","Savoir-faire","Technique","","N","",""
"102887","Compétence","Superviser des phases d'impression","","300486","","Savoir-faire","Technique expert","","N","",""
"102901","Compétence","Réaliser des opérations manuelles de façonnage ou routage","","404525","","Savoir-faire","Technique","","N","",""
"102902","Compétence","Assurer la conformité des produits finis","","300256","","Savoir-faire","Technique expert","","N","",""
"102903","Compétence","Retirer des produits non conformes","","300255","","Savoir-faire","Technique expert","","N","",""
"102908","Compétence","Réaliser des opérations manuelles de façonnage ou de routage par mise sous pli (formats particuliers)","","300129","","Savoir-faire","Technique","","N","",""
"102910","Compétence","Réaliser manuellement l'affranchissement pour l'expédition","","300268","","Savoir-faire","Technique","","N","",""
"102911","Compétence","Réaliser manuellement la mise sous tube pour l'expédition","","300268","","Savoir-faire","Technique","","N","",""
"102912","Compétence","Réaliser l'étiquetage de produits","","300268","","Savoir-faire","Technique","","N","",""
"102913","Compétence","Réaliser manuellement, pour l'expédition, le tri par destination (par produit, client, ...)","","300261","","Savoir-faire","Technique","","N","",""
"102914","Compétence","Repérer les annotations de l'éditeur et de l'auteur pour intervenir sur les documents","","300176","","Savoir-faire","Technique","","N","",""
"102915","Compétence","Corriger les erreurs d'orthographe, de grammaire, de syntaxe, de typographie","","300256","","Savoir-faire","Technique expert","","N","",""
"102916","Compétence","Vérifier la fiabilité des dates, données scientifiques, historiques, citations et apporter les corrections nécessaires","","300256","","Savoir-faire","Technique expert","","N","",""
"102918","Compétence","Corriger et annoter le document d'indications nécessaires à sa mise en page","","300256","","Savoir-faire","Technique expert","","N","",""
"102919","Compétence","Soumettre le document corrigé au commanditaire pour approbation","","300418","","Savoir-faire","Transverse","","N","",""
"102920","Compétence","Vérifier la conformité des corrections portées au document avant impression","","300256","","Savoir-faire","Technique expert","","N","",""
"102946","Compétence","Saisir le texte ou réaliser la maquette à partir du manuscrit, pré-projet, brouillon","","300157","","Savoir-faire","Technique","","N","",""
"102948","Compétence","Traiter textes et images en fonction des modes et des supports d'impression","","300157","","Savoir-faire","Technique","","N","",""
"102961","Compétence","Préparer des documents pour une impression","","300131","","Savoir-faire","Technique","","N","",""
"102972","Compétence","Préparer des supports et matériaux (sciage, perforage, pliage, chanfreinage, polissage, ...)","","300131","","Savoir-faire","Technique","","N","",""
"102973","Compétence","Découper des films adhésifs","","300157","","Savoir-faire","Technique","","N","",""
"102974","Compétence","Réaliser la finition de lettres prédécoupées au plotter","","300226","","Savoir-faire","Technique","","N","",""
"102976","Compétence","Réaliser la pose de visuels","","300228","","Savoir-faire","Technique","","N","",""
"102977","Compétence","Réaliser la reproduction de maquettes à partir d'un moniteur vidéo ou d'un vidéoprojecteur","","300070","","Savoir-faire","Technique","","O","",""
"102980","Compétence","Préparer les documents à reproduire, sélectionner les machines d'impression et les paramétrer","","300157","","Savoir-faire","Technique","","N","",""
"102981","Compétence","Surveiller le fonctionnement de la machine d'impression (arrivée papier, bourrage, impression, ...)","","300172","","Savoir-faire","Technique expert","","N","",""
"102983","Compétence","Façonner les documents dupliqués manuellement ou à l'aide d'une machine","","300157","","Savoir-faire","Technique","","N","",""
"102996","Compétence","Présenter au client les améliorations envisageables (grammage papier, mise en page, ...) après avoir vérifié la faisabilité de la commande","","300374","","Savoir-faire","Technique","","N","",""
